label,tid,lat_lon,date_time
E,3,50.163 3.77025,1970-01-01 00:00:00
E,3,50.1633 3.76965,1970-01-01 00:01:50
E,3,50.1585 3.76905,1970-01-01 00:03:33
E,3,50.1492 3.75585,1970-01-01 00:08:43
E,3,50.1525 3.75735,1970-01-01 00:11:07
E,3,50.1537 3.75915,1970-01-01 00:12:55
E,3,50.1522 3.76065,1970-01-01 00:16:45
E,3,50.1519 3.76065,1970-01-01 00:18:26
E,3,50.1516 3.76755,1970-01-01 00:22:01
E,3,50.1519 3.76755,1970-01-01 00:23:51
E,3,50.1537 3.76905,1970-01-01 00:25:42
E,3,50.1543 3.76455,1970-01-01 00:27:31
E,3,50.1522 3.76305,1970-01-01 00:29:14
E,3,50.1531 3.76335,1970-01-01 00:31:00
E,3,50.1612 3.75795,1970-01-01 00:39:31
E,3,50.1609 3.76275,1970-01-01 00:41:10
E,3,50.1612 3.76905,1970-01-01 00:42:51
E,3,50.163 3.77115,1970-01-01 00:44:36
E,3,50.1618 3.76695,1970-01-01 00:48:16
E,3,50.1594 3.76395,1970-01-01 00:51:51
E,3,50.1597 3.76305,1970-01-01 00:53:35
E,3,50.1591 3.75675,1970-01-01 01:00:43
E,3,50.1606 3.75735,1970-01-01 01:02:31
E,3,50.1612 3.75975,1970-01-01 01:04:15
E,3,50.169 3.76695,1970-01-01 01:13:10
E,3,50.1678 3.76275,1970-01-01 01:14:57
E,3,50.1717 3.76065,1970-01-01 01:21:58
E,3,50.1741 3.75825,1970-01-01 01:23:43
E,3,50.1666 3.75585,1970-01-01 01:27:15
E,3,50.1657 3.75435,1970-01-01 01:28:59
E,3,50.1636 3.75495,1970-01-01 01:30:41
E,3,50.1633 3.75495,1970-01-01 01:32:25
E,3,50.163 3.75615,1970-01-01 01:34:10
E,3,50.1678 3.75555,1970-01-01 01:37:50
E,3,50.1675 3.75435,1970-01-01 01:39:36
E,3,50.1636 3.75345,1970-01-01 01:41:22
E,3,50.1651 3.75555,1970-01-01 01:43:07
E,3,50.1645 3.75435,1970-01-01 01:44:52
E,3,50.1648 3.75375,1970-01-01 01:46:38
E,3,50.1654 3.75435,1970-01-01 01:48:26
E,3,50.166 3.75585,1970-01-01 01:51:32
E,3,50.1615 3.75165,1970-01-01 01:54:55
E,3,50.1618 3.75495,1970-01-01 01:56:40
E,3,50.1603 3.75345,1970-01-01 01:58:30
E,3,50.1639 3.76005,1970-01-01 02:04:00
E,3,50.1633 3.76035,1970-01-01 02:08:57
E,3,50.1636 3.76065,1970-01-01 02:10:44
E,3,50.1606 3.75195,1970-01-01 02:12:32
E,3,50.1594 3.75195,1970-01-01 02:14:21
E,3,50.1591 3.75855,1970-01-01 02:17:49
E,3,50.1543 3.76575,1970-01-01 02:23:08
E,3,50.1546 3.76665,1970-01-01 02:26:49
E,3,50.1582 3.76395,1970-01-01 02:28:34
E,3,50.1579 3.76455,1970-01-01 02:30:20
E,3,50.166 3.75735,1970-01-01 02:35:37
E,3,50.1669 3.76005,1970-01-01 02:39:14
E,3,50.1675 3.76065,1970-01-01 02:42:38
E,3,50.1633 3.76695,1970-01-01 02:51:38
E,3,50.1642 3.76365,1970-01-01 02:53:20
E,3,50.1648 3.76185,1970-01-01 02:56:50
E,3,50.1651 3.75975,1970-01-01 03:00:23
E,3,50.1651 3.75945,1970-01-01 03:02:07
E,3,50.1657 3.76425,1970-01-01 03:05:32
E,3,50.1639 3.77355,1970-01-01 03:07:11
E,3,50.1633 3.77715,1970-01-01 03:14:28
E,3,50.1603 3.76395,1970-01-01 03:17:57
E,3,50.16 3.76095,1970-01-01 03:19:43
E,3,50.1588 3.75675,1970-01-01 03:23:14
E,3,50.1594 3.76425,1970-01-01 03:26:50
E,3,50.1546 3.77445,1970-01-01 03:30:17
E,3,50.1543 3.77715,1970-01-01 03:33:52
E,3,50.1513 3.77895,1970-01-01 03:39:23
E,3,50.1513 3.77985,1970-01-01 03:41:05
E,3,50.1516 3.77955,1970-01-01 03:42:46
E,3,50.1486 3.77835,1970-01-01 03:44:33
E,3,50.1489 3.77985,1970-01-01 03:46:20
E,3,50.1489 3.77895,1970-01-01 03:51:41
E,3,50.1516 3.78195,1970-01-01 03:55:05
E,3,50.1507 3.78615,1970-01-01 03:56:50
E,3,50.1501 3.78675,1970-01-01 03:58:40
E,3,50.1513 3.78465,1970-01-01 04:02:25
E,3,50.1486 3.78135,1970-01-01 04:04:08
E,3,50.1477 3.78225,1970-01-01 04:07:37
E,3,50.1474 3.78045,1970-01-01 04:09:20
E,3,50.1471 3.78075,1970-01-01 04:12:54
E,3,50.1468 3.78165,1970-01-01 04:14:38
E,3,50.1471 3.78315,1970-01-01 04:16:22
E,3,50.1489 3.78345,1970-01-01 04:18:01
E,3,50.1621 3.76785,1970-01-01 04:21:31
E,3,50.1606 3.77085,1970-01-01 04:25:14
E,3,50.1576 3.77715,1970-01-01 04:27:04
E,3,50.1555 3.77565,1970-01-01 04:28:45
E,3,50.151 3.76935,1970-01-01 04:30:30
E,3,50.1537 3.77145,1970-01-01 04:32:14
E,3,50.1531 3.76275,1970-01-01 04:33:59
E,3,50.1534 3.76305,1970-01-01 04:35:48
E,3,50.157 3.76545,1970-01-01 04:37:37
E,3,50.1573 3.76515,1970-01-01 04:41:10
E,3,50.1576 3.76725,1970-01-01 04:42:52
E,3,50.1558 3.76815,1970-01-01 04:44:35
E,3,50.1549 3.76695,1970-01-01 04:46:26
E,3,50.1537 3.76545,1970-01-01 04:48:17
E,3,50.1534 3.76845,1970-01-01 04:50:09
E,3,50.1528 3.76635,1970-01-01 04:51:53
E,3,50.1498 3.76875,1970-01-01 04:53:35
E,3,50.1474 3.76845,1970-01-01 04:55:20
E,3,50.1627 3.75945,1970-01-01 04:57:08
E,3,50.1618 3.75825,1970-01-01 04:58:56
E,3,50.163 3.75465,1970-01-01 05:02:46
E,3,50.1633 3.75405,1970-01-01 05:04:26
E,3,50.1651 3.75255,1970-01-01 05:06:07
E,3,50.1684 3.75945,1970-01-01 05:07:47
E,3,50.1627 3.75525,1970-01-01 05:13:13
E,3,50.163 3.75495,1970-01-01 05:15:02
E,3,50.1612 3.75075,1970-01-01 05:16:44
E,3,50.1582 3.75495,1970-01-01 05:18:29
E,3,50.1612 3.75495,1970-01-01 05:22:03
E,3,50.1531 3.75765,1970-01-01 05:23:51
E,3,50.1495 3.76275,1970-01-01 05:25:41
E,3,50.1492 3.76065,1970-01-01 05:27:29
E,3,50.1501 3.77055,1970-01-01 05:30:46
E,3,50.1492 3.76545,1970-01-01 05:34:13
E,3,50.1468 3.76095,1970-01-01 05:37:55
E,3,50.1453 3.76155,1970-01-01 05:39:41
E,3,50.145 3.76005,1970-01-01 05:41:22
E,3,50.145 3.75885,1970-01-01 05:43:07
E,3,50.1459 3.75825,1970-01-01 05:44:52
E,3,50.1447 3.75855,1970-01-01 05:46:38
E,3,50.1486 3.75675,1970-01-01 05:49:11
E,3,50.1495 3.75555,1970-01-01 05:50:59
E,3,50.1495 3.75585,1970-01-01 05:52:41
E,3,50.1504 3.75015,1970-01-01 05:54:19
E,3,50.1546 3.75105,1970-01-01 06:03:16
E,3,50.1612 3.75765,1970-01-01 06:04:58
E,3,50.1609 3.75885,1970-01-01 06:06:40
E,3,50.1576 3.75975,1970-01-01 06:08:25
E,3,50.1543 3.76005,1970-01-01 06:10:08
E,3,50.1543 3.76005,1970-01-01 06:11:54
E,3,50.1501 3.76935,1970-01-01 06:13:43
E,3,50.1465 3.76275,1970-01-01 06:15:30
E,3,50.1477 3.76485,1970-01-01 06:17:08
E,3,50.1546 3.77355,1970-01-01 06:18:46
E,3,50.1552 3.77625,1970-01-01 06:20:29
E,3,50.1558 3.77895,1970-01-01 06:29:31
E,3,50.1549 3.76185,1970-01-01 06:31:17
E,3,50.1477 3.75795,1970-01-01 06:33:05
E,3,50.1477 3.75765,1970-01-01 06:34:52
E,3,50.1477 3.75855,1970-01-01 06:36:44
E,3,50.1618 3.75405,1970-01-01 06:38:35
E,3,50.1627 3.75555,1970-01-01 06:40:21
E,3,50.1678 3.75645,1970-01-01 06:43:37
E,3,50.1654 3.75525,1970-01-01 06:45:21
E,3,50.1654 3.76005,1970-01-01 06:59:40
E,3,50.1675 3.76065,1970-01-01 07:06:37
E,3,50.1672 3.75645,1970-01-01 07:08:20
E,3,50.1759 3.76095,1970-01-01 07:20:59
E,3,50.1813 3.75435,1970-01-01 07:28:33
E,3,50.1855 3.75195,1970-01-01 07:30:30
E,3,50.1849 3.74805,1970-01-01 07:41:16
E,3,50.184 3.74955,1970-01-01 07:43:17
E,3,50.1813 3.74835,1970-01-01 07:47:08
E,3,50.1813 3.74715,1970-01-01 07:49:02
E,3,50.1807 3.74835,1970-01-01 07:50:58
E,3,50.1813 3.74805,1970-01-01 07:52:47
E,3,50.1849 3.75075,1970-01-01 07:54:34
E,3,50.1678 3.76425,1970-01-01 07:56:21
E,3,50.1633 3.77175,1970-01-01 07:58:27
E,3,50.1627 3.76755,1970-01-01 08:00:38
E,3,50.1633 3.76935,1970-01-01 08:02:45
E,3,50.175 3.75975,1970-01-01 08:04:35
E,3,50.1813 3.76095,1970-01-01 08:06:29
E,3,50.1813 3.76155,1970-01-01 08:08:23
E,3,50.1804 3.76245,1970-01-01 08:10:38
E,3,50.1744 3.75915,1970-01-01 08:12:44
E,3,50.1669 3.75945,1970-01-01 08:16:39
E,3,50.1669 3.76455,1970-01-01 08:18:29
E,3,50.1633 3.77295,1970-01-01 08:20:16
E,3,50.1657 3.76725,1970-01-01 08:24:26
E,3,50.1681 3.75945,1970-01-01 08:28:27
E,3,50.1732 3.75885,1970-01-01 08:30:19
E,3,50.1729 3.75765,1970-01-01 08:32:13
E,3,50.1744 3.75855,1970-01-01 08:36:50
E,3,50.1735 3.75945,1970-01-01 08:38:52
E,3,50.1741 3.76005,1970-01-01 08:40:46
E,3,50.1693 3.75405,1970-01-01 08:42:41
E,3,50.1666 3.75465,1970-01-01 08:44:29
E,5,50.0739 3.80835,1970-01-01 00:00:00
E,5,50.0745 3.81285,1970-01-01 00:11:29
E,5,50.0766 3.81495,1970-01-01 00:14:53
E,5,50.0772 3.81165,1970-01-01 00:16:38
E,5,50.0757 3.81045,1970-01-01 00:41:03
E,5,50.0757 3.80835,1970-01-01 00:42:52
E,5,50.0739 3.81105,1970-01-01 00:51:46
E,5,50.0742 3.81045,1970-01-01 01:14:55
E,5,50.0742 3.80685,1970-01-01 01:39:34
E,5,50.0757 3.80745,1970-01-01 01:49:40
E,5,50.0745 3.80655,1970-01-01 02:05:25
E,5,50.0751 3.80925,1970-01-01 02:15:58
E,5,50.073 3.80505,1970-01-01 02:25:01
E,5,50.0727 3.80265,1970-01-01 02:28:29
E,5,50.0721 3.80505,1970-01-01 02:39:05
E,5,50.0706 3.80385,1970-01-01 02:55:04
E,5,50.0715 3.80325,1970-01-01 02:56:50
E,5,50.0727 3.80265,1970-01-01 03:01:58
E,5,50.0721 3.80715,1970-01-01 03:03:38
E,5,50.0715 3.80265,1970-01-01 03:12:39
E,5,50.0715 3.80295,1970-01-01 03:14:24
E,5,50.0709 3.80325,1970-01-01 03:16:10
E,5,50.0718 3.80295,1970-01-01 03:19:41
E,5,50.0712 3.80505,1970-01-01 03:21:29
E,5,50.0772 3.80175,1970-01-01 03:46:21
E,5,50.073 3.80565,1970-01-01 04:05:47
E,5,50.073 3.80685,1970-01-01 04:09:20
E,5,50.0727 3.80595,1970-01-01 04:12:48
E,5,50.0742 3.81255,1970-01-01 04:23:31
E,5,50.0742 3.81045,1970-01-01 04:28:41
E,5,50.0736 3.81075,1970-01-01 04:30:26
E,5,50.0742 3.80985,1970-01-01 04:39:18
E,5,50.0736 3.80985,1970-01-01 04:44:44
E,5,50.0736 3.81015,1970-01-01 04:46:37
E,5,50.0712 3.80775,1970-01-01 04:51:47
E,5,50.0706 3.80685,1970-01-01 04:53:37
E,5,50.0703 3.80535,1970-01-01 04:55:23
E,5,50.0724 3.80565,1970-01-01 05:00:53
E,5,50.0715 3.80535,1970-01-01 05:02:33
E,5,50.0757 3.80505,1970-01-01 05:13:11
E,5,50.0748 3.80415,1970-01-01 05:16:42
E,5,50.0769 3.80385,1970-01-01 05:22:08
E,5,50.076 3.79965,1970-01-01 05:25:34
E,5,50.0763 3.80235,1970-01-01 05:27:13
E,5,50.076 3.80145,1970-01-01 05:28:52
E,5,50.0748 3.79875,1970-01-01 05:36:07
E,5,50.0745 3.80265,1970-01-01 05:39:34
E,5,50.0709 3.80055,1970-01-01 05:41:18
E,5,50.0673 3.79515,1970-01-01 05:49:07
E,5,50.0619 3.77955,1970-01-01 05:50:45
E,5,50.0607 3.77715,1970-01-01 05:52:25
E,5,50.0613 3.77835,1970-01-01 05:59:43
E,5,50.073 3.77595,1970-01-01 06:01:24
E,5,50.0802 3.77295,1970-01-01 06:03:07
E,5,50.0835 3.77715,1970-01-01 06:06:35
E,5,50.0835 3.77535,1970-01-01 06:08:21
E,5,50.0841 3.77625,1970-01-01 06:10:10
E,5,50.0832 3.77685,1970-01-01 06:11:56
E,5,50.0829 3.77925,1970-01-01 06:15:13
E,5,50.0745 3.78675,1970-01-01 06:16:56
E,5,50.0712 3.78945,1970-01-01 06:20:38
E,5,50.0697 3.79785,1970-01-01 06:25:59
E,5,50.0682 3.79665,1970-01-01 06:27:44
E,5,50.0673 3.79695,1970-01-01 06:29:32
E,5,50.0679 3.79785,1970-01-01 06:31:19
E,5,50.0676 3.79545,1970-01-01 06:33:10
E,5,50.0718 3.79575,1970-01-01 06:36:47
E,5,50.073 3.79785,1970-01-01 06:38:26
E,5,50.0769 3.79665,1970-01-01 06:57:56
E,5,50.0739 3.79905,1970-01-01 07:03:04
E,5,50.0745 3.80115,1970-01-01 07:15:41
E,5,50.0739 3.79815,1970-01-01 07:20:46
E,5,50.0739 3.79575,1970-01-01 07:26:59
E,5,50.0709 3.79515,1970-01-01 07:33:31
E,5,50.0709 3.79515,1970-01-01 07:35:41
E,5,50.0706 3.79485,1970-01-01 07:37:46
E,5,50.0667 3.79395,1970-01-01 07:39:46
E,5,50.0655 3.79725,1970-01-01 07:42:21
E,5,50.0655 3.79935,1970-01-01 07:43:37
E,5,50.0649 3.79965,1970-01-01 07:45:32
E,5,50.0652 3.79935,1970-01-01 07:47:26
E,5,50.0652 3.79875,1970-01-01 07:49:16
E,5,50.0649 3.79605,1970-01-01 07:51:01
E,5,50.0583 3.79545,1970-01-01 07:52:50
E,5,50.0586 3.79545,1970-01-01 07:59:13
E,5,50.0586 3.78915,1970-01-01 08:02:57
E,5,50.0571 3.78795,1970-01-01 08:09:13
E,5,50.0565 3.78525,1970-01-01 08:11:13
E,5,50.0574 3.78705,1970-01-01 08:13:07
E,5,50.0604 3.78225,1970-01-01 08:18:44
E,5,50.0607 3.78135,1970-01-01 08:23:08
E,5,50.0622 3.78135,1970-01-01 08:24:56
E,5,50.0652 3.78075,1970-01-01 08:26:48
E,5,50.0646 3.77565,1970-01-01 08:28:42
E,5,50.0685 3.77775,1970-01-01 08:33:20
E,5,50.0664 3.77865,1970-01-01 08:35:22
E,5,50.0763 3.77835,1970-01-01 08:39:09
E,5,50.0775 3.77895,1970-01-01 08:40:58
E,5,50.0757 3.77925,1970-01-01 08:43:01
E,5,50.0772 3.78015,1970-01-01 08:47:14
E,5,50.0793 3.77655,1970-01-01 08:49:07
E,5,50.0793 3.77535,1970-01-01 08:50:58
E,5,50.0793 3.77625,1970-01-01 08:52:56
E,5,50.0856 3.78405,1970-01-01 08:54:52
E,5,50.0841 3.78525,1970-01-01 08:56:49
E,5,50.0847 3.78525,1970-01-01 08:58:47
E,5,50.0847 3.78585,1970-01-01 09:00:43
E,5,50.0847 3.78735,1970-01-01 09:02:33
E,5,50.082 3.78495,1970-01-01 09:04:22
E,5,50.0823 3.78675,1970-01-01 09:06:27
E,5,50.082 3.78435,1970-01-01 09:08:40
E,5,50.082 3.78525,1970-01-01 09:10:55
E,5,50.082 3.78345,1970-01-01 09:12:46
E,5,50.0823 3.78345,1970-01-01 09:14:39
E,5,50.0838 3.78465,1970-01-01 09:16:35
E,5,50.0835 3.78435,1970-01-01 09:18:32
E,5,50.0841 3.78495,1970-01-01 09:20:32
E,5,50.0847 3.78555,1970-01-01 09:22:37
E,5,50.0859 3.78555,1970-01-01 09:24:32
E,5,50.0853 3.78585,1970-01-01 09:26:22
E,5,50.0886 3.78615,1970-01-01 09:28:08
E,5,50.0871 3.78315,1970-01-01 09:30:08
E,5,50.0883 3.78615,1970-01-01 09:32:18
E,5,50.0883 3.78555,1970-01-01 09:38:16
E,5,50.0901 3.78585,1970-01-01 09:40:10
E,5,50.0919 3.78435,1970-01-01 09:42:05
E,5,50.0922 3.78375,1970-01-01 09:44:05
E,5,50.0931 3.78435,1970-01-01 09:46:05
E,5,50.0928 3.78435,1970-01-01 09:48:05
E,5,50.0931 3.78495,1970-01-01 09:50:00
E,5,50.0889 3.78315,1970-01-01 10:07:51
E,5,50.0733 3.78675,1970-01-01 10:23:06
E,5,50.0742 3.78765,1970-01-01 10:25:03
E,7,50.0796 3.76785,1970-01-01 00:00:00
E,7,50.082 3.76905,1970-01-01 00:04:11
E,7,50.0829 3.77145,1970-01-01 00:11:28
E,7,50.0814 3.77175,1970-01-01 00:15:07
E,7,50.082 3.77205,1970-01-01 00:20:32
E,7,50.0991 3.77265,1970-01-01 00:22:17
E,7,50.0949 3.76485,1970-01-01 00:35:52
E,7,50.0922 3.75945,1970-01-01 00:39:32
E,7,50.0901 3.75645,1970-01-01 00:43:10
E,7,50.0865 3.75375,1970-01-01 00:44:52
E,7,50.0847 3.75285,1970-01-01 00:46:38
E,7,50.0826 3.75105,1970-01-01 00:50:11
E,7,50.0865 3.75465,1970-01-01 00:52:00
E,7,50.0862 3.75555,1970-01-01 00:53:49
E,7,50.0856 3.75705,1970-01-01 00:55:33
E,7,50.085 3.75825,1970-01-01 00:57:14
E,7,50.0868 3.75735,1970-01-01 00:58:56
E,7,50.0829 3.75675,1970-01-01 01:07:57
E,7,50.085 3.76575,1970-01-01 01:09:46
